user_id,signup_date,subscription_tier,age_group,gender
user_1,2025-03-26,Free,36-50,Female
user_2,2024-09-12,Free,26-35,Female
user_3,2024-09-14,Premium,18-25,Male
user_4,2025-03-01,Basic,26-35,Male
user_5,2024-05-01,Free,50+,Male
user_6,2025-04-08,Basic,26-35,Other
user_7,2024-10-07,Premium,50+,Female
user_8,2024-12-27,Basic,18-25,Female
user_9,2024-07-27,Free,26-35,Other
user_10,2024-11-05,Basic,26-35,Other
user_11,2024-10-07,Premium,26-35,Female
user_12,2025-04-04,Basic,36-50,Other
user_13,2024-11-21,Free,50+,Male
user_14,2024-12-18,Basic,36-50,Other
user_15,2025-04-05,Free,36-50,Male
user_16,2025-01-28,Premium,36-50,Other
user_17,2025-03-16,Basic,36-50,Male
user_18,2025-01-19,Premium,36-50,Other
user_19,2024-10-17,Basic,18-25,Other
user_20,2024-09-10,Free,26-35,Male
user_21,2025-04-06,Free,50+,Other
user_22,2024-08-19,Premium,18-25,Female
user_23,2024-05-21,Premium,50+,Male
user_24,2025-01-10,Premium,26-35,Male
user_25,2024-06-20,Premium,50+,Female
user_26,2024-10-12,Free,36-50,Male
user_27,2024-11-07,Free,18-25,Male
user_28,2024-06-27,Premium,36-50,Other
user_29,2024-07-24,Premium,50+,Female
user_30,2025-01-04,Free,50+,Other
user_31,2024-07-08,Premium,36-50,Female
user_32,2024-09-22,Premium,18-25,Female
user_33,2024-11-01,Premium,18-25,Other
user_34,2024-08-31,Premium,18-25,Male
user_35,2024-11-21,Premium,50+,Other
user_36,2024-08-26,Premium,18-25,Female
user_37,2024-11-16,Basic,26-35,Female
user_38,2025-02-13,Free,18-25,Other
user_39,2024-08-03,Premium,26-35,Other
user_40,2024-11-13,Free,26-35,Male
user_41,2025-03-11,Basic,26-35,Male
user_42,2024-11-02,Basic,18-25,Female
user_43,2024-09-19,Basic,18-25,Other
user_44,2024-10-30,Free,36-50,Other
user_45,2025-01-12,Free,36-50,Female
user_46,2025-01-21,Free,50+,Female
user_47,2024-09-02,Basic,50+,Male
user_48,2024-08-03,Free,18-25,Female
user_49,2025-01-08,Basic,26-35,Male
user_50,2025-02-27,Basic,36-50,Other
user_51,2024-11-26,Free,26-35,Male
user_52,2024-05-20,Free,36-50,Male
user_53,2025-03-31,Basic,26-35,Male
user_54,2024-10-01,Basic,26-35,Other
user_55,2024-09-21,Free,50+,Male
user_56,2025-04-02,Free,26-35,Male
user_57,2024-06-28,Free,26-35,Other
user_58,2024-05-29,Premium,26-35,Other
user_59,2025-01-11,Basic,18-25,Other
user_60,2025-02-13,Premium,18-25,Female
user_61,2024-04-25,Free,26-35,Male
user_62,2024-04-26,Basic,50+,Female
user_63,2025-01-06,Free,26-35,Other
user_64,2025-02-07,Premium,36-50,Other
user_65,2024-05-15,Free,26-35,Female
user_66,2024-05-18,Free,50+,Male
user_67,2024-07-17,Basic,36-50,Other
user_68,2025-03-08,Basic,36-50,Other
user_69,2024-09-16,Premium,18-25,Male
user_70,2024-12-12,Premium,50+,Female
user_71,2025-02-26,Free,26-35,Female
user_72,2024-11-04,Basic,50+,Other
user_73,2024-12-12,Basic,26-35,Other
user_74,2024-06-10,Free,18-25,Female
user_75,2024-06-03,Basic,50+,Male
user_76,2024-05-02,Basic,36-50,Other
user_77,2025-04-04,Premium,36-50,Other
user_78,2024-10-10,Premium,50+,Female
user_79,2024-10-23,Basic,18-25,Other
user_80,2024-06-21,Premium,50+,Male
user_81,2024-05-21,Basic,26-35,Other
user_82,2024-10-30,Basic,36-50,Other
user_83,2025-03-07,Basic,50+,Male
user_84,2025-04-16,Basic,36-50,Male
user_85,2024-10-17,Premium,26-35,Other
user_86,2024-08-16,Premium,36-50,Other
user_87,2025-02-17,Premium,50+,Female
user_88,2025-01-25,Free,26-35,Female
user_89,2024-06-23,Free,50+,Other
user_90,2024-08-26,Basic,50+,Other
user_91,2024-06-05,Premium,50+,Female
user_92,2024-06-01,Basic,50+,Male
user_93,2024-12-18,Free,26-35,Other
user_94,2025-01-12,Basic,18-25,Other
user_95,2024-08-20,Basic,18-25,Female
user_96,2024-12-19,Free,26-35,Female
user_97,2024-12-29,Basic,26-35,Female
user_98,2024-07-08,Basic,36-50,Male
user_99,2024-07-11,Basic,18-25,Female
user_100,2024-12-18,Premium,50+,Female
