video_id,title,genre,duration_seconds,patent_id
video_1,Video Title 1,Action,2820,patent_3
video_2,Video Title 2,Drama,3244,patent_1
video_3,Video Title 3,Drama,78,patent_1
video_4,Video Title 4,Documentary,2633,patent_4
video_5,Video Title 5,Drama,909,patent_2
video_6,Video Title 6,Comedy,1218,patent_3
video_7,Video Title 7,Comedy,1355,patent_1
video_8,Video Title 8,Action,432,patent_3
video_9,Video Title 9,Action,284,patent_4
video_10,Video Title 10,Documentary,169,patent_1
video_11,Video Title 11,Comedy,1710,patent_1
video_12,Video Title 12,Comedy,1847,patent_2
video_13,Video Title 13,Action,1441,patent_4
video_14,Video Title 14,Action,3507,patent_3
video_15,Video Title 15,Documentary,2536,patent_5
video_16,Video Title 16,Action,2924,patent_1
video_17,Video Title 17,Comedy,1324,patent_1
video_18,Video Title 18,Comedy,706,patent_2
video_19,Video Title 19,Action,2915,patent_2
video_20,Video Title 20,Documentary,2141,patent_4
